group_name,deck_type,count,share,city_share_2026_05_07,delta_vs_city
ジュニア2日目,【メガガルーラex】,7,0.437500,0.039739,0.397761
ジュニア2日目,【ソルロックルナトーン/メガルカリオex】,2,0.125000,0.000000,0.125000
ジュニア2日目,【フーディン】,2,0.125000,0.037960,0.087040
ジュニア2日目,【ロケット団】,1,0.062500,0.000000,0.062500
ジュニア2日目,【ドラパルトex】,1,0.062500,0.279359,-0.216859
ジュニア2日目,【ドラパルトex / バシャーモex】,1,0.062500,0.000000,0.062500
ジュニア2日目,【ゲッコウガex / メガスターミーex / メガユキメノコex】,1,0.062500,0.000000,0.062500
ジュニア2日目,【オリーヴァex】,1,0.062500,0.000000,0.062500
マスターDay2,【ドラパルトex】,5,0.312500,0.279359,0.033141
マスターDay2,【Nのゾロアークex】,2,0.125000,0.035587,0.089413
マスターDay2,【ドラパルトex / バシャーモex】,2,0.125000,0.000000,0.125000
マスターDay2,【メガガルーラex】,2,0.125000,0.039739,0.085261
マスターDay2,【カミツオロチex】,1,0.062500,0.000000,0.062500
マスターDay2,【メガミミロップex / メガユキメノコex】,1,0.062500,0.000000,0.062500
マスターDay2,【シロナのガブリアスex】,1,0.062500,0.040925,0.021575
マスターDay2,【ロケット団】,1,0.062500,0.000000,0.062500
マスターDay2,【オリーヴァex】,1,0.062500,0.000000,0.062500
シニア2日目,【ドラパルトex】,7,0.437500,0.279359,0.158141
シニア2日目,【メガガルーラex】,4,0.250000,0.039739,0.210261
シニア2日目,【メガアブソルex】,1,0.062500,0.000000,0.062500
シニア2日目,【ユキメノコ / マリィのオーロンゲex / メガユキメノコex】,1,0.062500,0.000000,0.062500
シニア2日目,【exバレット / タケルライコex / テラパゴスex】,1,0.062500,0.000000,0.062500
シニア2日目,【exバレット / タケルライコex】,1,0.062500,0.000000,0.062500
シニア2日目,【Nのゾロアークex / メガミミロップex】,1,0.062500,0.000000,0.062500
ジュニア1日目,【ドラパルトex】,5,0.312500,0.279359,0.033141
ジュニア1日目,【フーディン】,2,0.125000,0.037960,0.087040
ジュニア1日目,【ドラパルトex / バシャーモex】,1,0.062500,0.000000,0.062500
ジュニア1日目,【メガアブソルex】,1,0.062500,0.000000,0.062500
ジュニア1日目,【ロケット団】,1,0.062500,0.000000,0.062500
ジュニア1日目,【オリーヴァex】,1,0.062500,0.000000,0.062500
ジュニア1日目,【メガミミロップex / メガユキメノコex】,1,0.062500,0.000000,0.062500
ジュニア1日目,【ユキメノコ / マリィのオーロンゲex】,1,0.062500,0.000000,0.062500
ジュニア1日目,【おまつりおんど】,1,0.062500,0.023725,0.038775
ジュニア1日目,【ソルロックルナトーン/メガルカリオex】,1,0.062500,0.000000,0.062500
ジュニア1日目,【メガガルーラex】,1,0.062500,0.039739,0.022761
シニア1日目,【ドラパルトex】,7,0.437500,0.279359,0.158141
シニア1日目,【ユキメノコ / マリィのオーロンゲex】,3,0.187500,0.000000,0.187500
シニア1日目,【メガガルーラex】,2,0.125000,0.039739,0.085261
シニア1日目,【メガアブソルex】,2,0.125000,0.000000,0.125000
シニア1日目,【ゲノセクトex / メタグロス】,1,0.062500,0.000000,0.062500
シニア1日目,【ゲッコウガex / メガゲッコウガex】,1,0.062500,0.000000,0.062500
